id,name,group
heidenheim,1. FC Heidenheim,germany
vfbstuttgart,VfB Stuttgart,germany
ulm,SSV Ulm,germany
aue,Erzgebirge Aue,germany
wiesbaden,SV Wehen Wiesbaden,germany
nuernberg,1. FC Nürnberg,germany
bielefeld,Arminia Bielefeld,germany
bvb,Borussia Dortmund,germany
frankfurt,Eintracht Frankfurt,germany
augsburg,FC Augsburg,germany
hannover,Hannover 96,germany
ksc,Karlsruher SC,germany
regensburg,SSV Jahn Regensburg,germany
sandhausen,SV Sandhausen,germany
osnabrueck,VfL Osnabrück,germany
koeln,1. FC Köln,germany
armenien,Armenien (N11),europe
atleticomadrid,Atletico Madrid,spain
bayer,Bayer 04 Leverksuen,germany
dresden,Dynamo Dresden,germany
braunschweig,Eintracht Braunschweig,germany
exeter,Exeter City,uk
ingolstadt,FC Ingolstadt,germany
schalke,FC Schalke 04,germany
stgallen,FC St. Gallen,switzerland
duesseldorf,Fortuna Düsseldorf,germany
ravensburg,FV Ravensburg,germany
hsv,Hamburger SV,germany
holstein,Holstein Kiel,germany
liechtenstein,Liechtenstein (N11),europe
middlesbrough,Middlesbrough FC,uk
portsmouth,Portsmouth FC,uk
paderborn,SC Paderborn,germany
fuerth,SpVgg Greuther Fürth,germany
stokecityyouth,Stoke City U23,uk
darmstadt,SV Darmstadt 98,germany
hoffenheim,TSG 1899 Hoffenheim,germany
ilshofen,TSV Ilshofen,germany
werder,Werder Bremen,germany
westhamyouth,West Ham United U23,uk
